id_prov;Provincias;pob_total;pob_100;tasa_total;pob_hombres;pob_100_hombres;tasa_hombres;pob_mujeres;pob_100_mujeres;tasa_mujeres
02;02 Albacete;389032;87;2,236319891;194482;26;1,336884647;194551;61;3,135424644
03;03 Alicante/Alacant;1889707;365;1,931516367;936941;87;0,928553666;952766;278;2,917820325
04;04 Almería;717088;109;1,520036592;362769;37;1,019932795;354319;73;2,060290303
01;01 Araba/Álava;330146;112;3,392438497;161627;10;0,618708508;168519;102;6,052729959
33;33 Asturias;1015423;367;3,61425731;485258;59;1,215848064;530165;309;5,828374185
05;05 Ávila;158085;79;4,997311573;79631;18;2,260426216;78454;62;7,902720065
06;06 Badajoz;670098;145;2,163862599;331345;19;0,573420453;338753;125;3,690004221
07;07 Balears, Illes;1215018;209;1,720139126;607874;43;0,707383438;607144;166;2,7341125
08;08 Barcelona;5634270;1278;2,268261904;2733609;157;0,57433232;2900660;1121;3,864637703
48;48 Bizkaia;1142273;292;2,556306592;549203;42;0,764744548;593070;251;4,232215421
09;09 Burgos;355016;147;4,140658449;178118;24;1,347421372;176897;122;6,896668683
10;10 Cáceres;389180;127;3,263271494;194174;41;2,111508235;195006;85;4,358840241
11;11 Cádiz;1255302;154;1,22679642;622645;36;0,578178577;632656;118;1,865152626
39;39 Cantabria;582319;220;3,77799797;283766;31;1,092449413;298553;189;6,330534277
12;12 Castellón/Castelló;575458;140;2,432844795;285591;30;1,050453271;289868;111;3,829329212
13;13 Ciudad Real;491682;121;2,460940201;243658;39;1,600604125;248024;83;3,346450344
14;14 Córdoba;783008;171;2,183885733;383900;45;1,172180255;399108;126;3,1570402
15;15 Coruña, A;1122867;394;3,508875049;539135;69;1,279827872;583732;325;5,567623498
16;16 Cuenca;198702;64;3,220903665;100406;15;1,493934625;98296;49;4,984943436
20;20 Gipuzkoa;716910;177;2,468929154;348419;26;0,746227961;368491;150;4,070655728
17;17 Girona;769601;236;3,066524082;383322;46;1,200035479;386278;190;4,918737282
18;18 Granada;925848;213;2,300593618;458084;62;1,353463557;467765;151;3,228116683
19;19 Guadalajara;262996;68;2,585590655;133461;12;0,899139074;129535;56;4,323155904
21;21 Huelva;528532;110;2,08123633;260353;28;1,075462929;268179;83;3,094947777
22;22 Huesca;220709;126;5,708874581;111541;23;2,062022037;109168;103;9,434999267
23;23 Jaén;627404;93;1,482298487;311365;20;0,642332953;316039;73;2,309841507
24;24 León;456737;256;5,604976168;222433;56;2,517612045;234304;199;8,493239552
25;25 Lleida;435988;148;3,394588842;221271;27;1,220223165;214717;121;5,635324637
27;27 Lugo;327147;220;6,724805668;158861;33;2,077287692;168286;187;11,11203546
28;28 Madrid;6756291;1855;2,745589259;3238090;276;0,85235432;3518201;1579;4,488089225
29;29 Málaga;1686016;384;2,277558457;827535;106;1,28091259;858481;278;3,238277842
30;30 Murcia;1509229;173;1,146280651;755165;54;0,715075513;754064;119;1,578115385
31;31 Navarra;657189;184;2,799803405;324657;29;0,893250415;332532;155;4,661205538
32;32 Ourense;305642;244;7,983196027;147235;40;2,716745339;158407;204;12,87821877
34;34 Palencia;159327;79;4,958356085;78989;15;1,898998595;80338;64;7,966342204
35;35 Palmas, Las;1154939;239;2,069373361;574343;68;1,1839615;580596;170;2,928025684
36;36 Pontevedra;942820;374;3,966822935;456999;93;2,035015394;485822;282;5,804595099
26;26 Rioja, La;316129;123;3,890816724;155743;25;1,605208581;160386;98;6,110259
37;37 Salamanca;328839;195;5,929953564;160031;42;2,624491505;168808;153;9,06355149
38;38 Santa Cruz de Tenerife;1089534;282;2,588262505;537425;87;1,618830534;552108;195;3,531917668
40;40 Segovia;153627;70;4,556490721;77310;11;1,422843099;76317;59;7,730911855
41;41 Sevilla;1960543;372;1,897433517;958578;80;0,834569539;1001965;292;2,914273453
42;42 Soria;89396;73;8,165913464;45410;23;5,064963664;43986;50;11,36725322
43;43 Tarragona;816326;244;2,989001943;407166;54;1,326240403;409160;190;4,643660182
44;44 Teruel;133092;103;7,739007604;67477;23;3,408568846;65615;81;12,34473825
45;45 Toledo;700661;218;3,111347713;353596;35;0,989830202;347064;184;5,30161584
46;46 Valencia/València;2571631;626;2,434252815;1257460;129;1,025877563;1314171;497;3,781851829
47;47 Valladolid;519824;162;3,11643941;253525;13;0,512769944;266299;148;5,557662627
49;49 Zamora;170568;105;6,155902631;84806;37;4,362898851;85762;68;7,928919568
50;50 Zaragoza;977301;327;3,345949713;478156;59;1,233906926;499145;268;5,3691813
51;51 Ceuta;83958;20;2,382143453;42483;8;1,883106184;41475;13;3,134418324
52;52 Melilla;84277;23;2,72909572;42314;7;1,654298814;41963;16;3,812882778
